Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/19/2012,Eberhard Schaaf,Germany,Cerebral oedema,"27.9882° N, 86.9254° E",1
5/19/2012,Shriya Shah-Klorfine,Canada,Exhaustion,"27.9882° N, 86.9254° E",1
4/21/2012,Namgyal Tshering Sherpa,Nepal,Fall into crevasse,"27.9882° N, 86.9254° E",1
4/20/2012,Ramesh Gulve,India,Stroke,"27.9882° N, 86.9254° E",1
4/19/2012,Karsang Namgyal Sherpa,Nepal,Altitude sickness,"27.9882° N, 86.9254° E",1
4/5/2012,Dawa Tenzing,Nepal,Stroke,"27.9882° N, 86.9254° E",1
9/15/2011,Hiroaki Kino,Japan,Cerebral apoplexy,"27.9882° N, 86.9254° E",1
5/21/2011,John Delaney,Ireland,Altitude sickness,"27.9882° N, 86.9254° E",1
5/12/2011,Takashi Ozaki,Japan,Altitude sickness,"27.9882° N, 86.9254° E",1
5/9/2011,Shailendra Kumar Upadhyaya,Nepal,Altitude sickness,"27.9882° N, 86.9254° E",1
5/1/2011,Rick Hitch,United States,Heart attack,"27.9882° N, 86.9254° E",1
5/26/2010,Peter Kinloch,United Kingdom,Exhaustion,"27.9882° N, 86.9254° E",1
5/19/2010,Tom Jørgensen,Denmark,HACE,"27.9882° N, 86.9254° E",1
4/26/2010,László Várkonyi,Hungary,Fall into crevasse,"27.9882° N, 86.9254° E",1
5/21/2009,Frank Ziebarth,Canada,Hypothermia,"27.9882° N, 86.9254° E",1
5/19/2009,Wenhong Wu,China,Altitude sickness,"27.9882° N, 86.9254° E",1
5/18/2009,Věslav Chrzaszcz,Czech,Heart attack,"27.9882° N, 86.9254° E",1
5/7/2009,Lhakpa Nuru,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
5/21/2008,Uwe Gianni Goltz,Switzerland,Exhaustion,"27.9882° N, 86.9254° E",1
5/17/2007,Lee Hyun-jo,South Korea,Disappeared,"27.9882° N, 86.9254° E",1
5/17/2007,Oh Hee-joon,South Korea,Disappeared,"27.9882° N, 86.9254° E",1
5/17/2007,Maurizio Pierangelo,Italy,Disappeared,"27.9882° N, 86.9254° E",1
5/16/2007,Yoshitomi Okura,Japan,Disappeared,"27.9882° N, 86.9254° E",1
5/17/2007,Libor Kozak,Czech,Disappeared,"27.9882° N, 86.9254° E",1
5/17/2007,Shinichi Ishii,Japan,Disappeared,"27.9882° N, 86.9254° E",1
4/26/2007,Dawa Sherpa,Nepal,Disappeared,"27.9882° N, 86.9254° E",1
5/25/2006,Thomas Weber,Germany,Altitude sickness,"27.9882° N, 86.9254° E",1
5/22/2006,Igor Plyushkin,Russia,Altitude sickness,"27.9882° N, 86.9254° E",1
5/19/2006,Vitor Negrete,Brazil,Exhaustion,"27.9882° N, 86.9254° E",1
5/16/2006,Tomas Olsson,Sweden,Fall,"27.9882° N, 86.9254° E",1
5/15/2006,David Sharp,United Kingdom,Exhaustion,"27.9882° N, 86.9254° E",1
5/14/2006,Srikrishna,India,Fall,"27.9882° N, 86.9254° E",1
5/6/2006,Jacques-Hugues Letrange,France,Exhaustion,"27.9882° N, 86.9254° E",1
4/21/2006,Dawa Temba,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
4/21/2006,Lhakpa Tseri,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
4/21/2006,Ang Phinjo Sherpa,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
4/7/2006,Tuk Bahadur Thapa Magar Sherpa,Nepal,Altitude,"27.9882° N, 86.9254° E",1
6/5/2005,Robert William Milne,United Kingdom,Exposure,"27.9882° N, 86.9254° E",1
6/4/2005,Dieter Kramer,Germany,Exposure,"27.9882° N, 86.9254° E",1
5/30/2005,Sirigereshiva Shankarappa Chaitanya,India,Exposure,"27.9882° N, 86.9254° E",1
5/21/2005,Marko Lihteneker,Slovenia,Oxygen problems,"27.9882° N, 86.9254° E",1
5/2/2005,Michael Corey O'Brien,United States,Fall into crevasse,"27.9882° N, 86.9254° E",1
4/28/2005,Sean Egan,Canada,Heart attack,"27.9882° N, 86.9254° E",1
5/23/2004,Mariana Prodanova Maslarova,Bulgaria,Exposure,"27.9882° N, 86.9254° E",1
5/20/2004,Shoko Ota,Japan,Exposure,"27.9882° N, 86.9254° E",1
5/20/2004,Hristo Ganchev Hristov,Bulgaria,Exposure,"27.9882° N, 86.9254° E",1
5/18/2004,Nils Antezana,Bolivia,Exposure,"27.9882° N, 86.9254° E",1
5/18/2004,Mu-taek Park,South Korea,Exposure,"27.9882° N, 86.9254° E",1
5/18/2004,Min Jang,South Korea,Exposure,"27.9882° N, 86.9254° E",1
5/18/2004,Joon-ho Baek,South Korea,Exposure,"27.9882° N, 86.9254° E",1
5/24/2003,Karma Gyalzen Sherpa,Nepal,Altitude sickness,"27.9882° N, 86.9254° E",1
5/8/2003,Arnaud Saulnier,France,Altitude sickness,"27.9882° N, 86.9254° E",1
5/25/2003,Jan Krzysztof Liszewski,Poland,Fall,"27.9882° N, 86.9254° E",1
5/27/2003,Bhim Bahadur Gurung,Nepal,Fall into crevasse,"27.9882° N, 86.9254° E",1
9/8/2002,Marco Siffredi,France,Snowboarding accident,"27.9882° N, 86.9254° E",1
5/19/2002,Zoran Miletić,Yugoslavia,Disappeared,"27.9882° N, 86.9254° E",1
4/30/2002,Peter Legate,United Kingdom,Fall into crevasse,"27.9882° N, 86.9254° E",1
10/17/2001,Sándor Gárdos,Hungary,Fall,"27.9882° N, 86.9254° E",1
5/24/2001,Aleksei Nikiforov,Russia,Altitude sickness,"27.9882° N, 86.9254° E",1
5/24/2001,Mark Auricht,Australia,Cerebral oedema,"27.9882° N, 86.9254° E",1
5/23/2001,Peter Ganner,Austria,Fall,"27.9882° N, 86.9254° E",1
4/29/2001,Babu Chiri Sherpa,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/21/2000,Yan Genghua,China,Fall,"27.9882° N, 86.9254° E",1
5/20/2000,Jeppe Stoltz,Denmark,Fall,"27.9882° N, 86.9254° E",1
5/18/1999,Pascal Debrouwer,Belgium,Fall,"27.9882° N, 86.9254° E",1
5/18/1999,Tadeusz Kudelski,Poland,Fall,"27.9882° N, 86.9254° E",1
5/13/1999,Michael Matthews,United Kingdom,Disappeared,"27.9882° N, 86.9254° E",1
5/8/1999,Vasyl Kopytko,Ukraine,Disappeared,"27.9882° N, 86.9254° E",1
7/24/1998,Shahid Abdul Khader,India,Fall,"27.9882° N, 86.9254° E",1
5/26/1998,Roger Buick,New Zealand,Exhaustion,"27.9882° N, 86.9254° E",1
5/25/1998,Mark Jennings,United Kingdom,Exhaustion,"27.9882° N, 86.9254° E",1
5/24/1998,Francys Arsentiev,United States,Cerebral oedema,"27.9882° N, 86.9254° E",1
5/24/1998,Sergei Arsentiev,United States,Fall,"27.9882° N, 86.9254° E",1
9/8/1997,Choi Byong-soo,South Korea,Avalanche,"27.9882° N, 86.9254° E",1
9/8/1997,Tenzing Nuru,Nepal,Disappearance,"27.9882° N, 86.9254° E",1
